id,name,description,latitude,longitude,opening_hours,category
141,Viewpoint89,poi in newyork,40.6994832,-73.9999673,24,viewpoint
142,Viewpoint20,poi in newyork,40.715191,-74.0167787,24,viewpoint
143,Viewpoint21,poi in newyork,40.7168038,-74.0154401,24,viewpoint
144,Viewpoint23,poi in newyork,40.7044128,-74.0185873,24,viewpoint
145,Viewpoint44,poi in newyork,40.7068884,-74.0185311,24,viewpoint
146,Viewpoint73,poi in newyork,40.715191,-74.0167787,24,viewpoint
147,Viewpoint74,poi in newyork,40.7168038,-74.0154401,24,viewpoint
148,Viewpoint76,poi in newyork,40.7044128,-74.0185873,24,viewpoint
149,Viewpoint97,poi in newyork,40.7068884,-74.0185311,24,viewpoint
150,Skyscraper Museum,poi in newyork,40.7057229,-74.0177051,24,museum
151,Viewpoint26,poi in newyork,40.8607367,-73.9179973,24,viewpoint
152,Viewpoint27,poi in newyork,40.8601007,-73.9184413,24,viewpoint
153,Viewpoint79,poi in newyork,40.8607367,-73.9179973,24,viewpoint
154,Viewpoint80,poi in newyork,40.8601007,-73.9184413,24,viewpoint
155,Dyckman Farmhouse Museum,poi in newyork,40.8673822,-73.9228859,24,museum
156,Viewpoint28,poi in newyork,40.7077295,-73.9995351,24,viewpoint
157,Viewpoint40,poi in newyork,40.70586,-74.0011642,24,viewpoint
158,Viewpoint81,poi in newyork,40.7077295,-73.9995351,24,viewpoint
159,Viewpoint93,poi in newyork,40.70586,-74.0011642,24,viewpoint
160,Viewpoint29,poi in newyork,40.8155501,-73.9619788,24,viewpoint
161,Viewpoint82,poi in newyork,40.8155501,-73.9619788,24,viewpoint
162,Viewpoint34,poi in newyork,40.7497246,-73.961392,24,viewpoint
163,Viewpoint87,poi in newyork,40.7497246,-73.961392,24,viewpoint
164,Viewpoint37,poi in newyork,40.7035295,-73.9952975,24,viewpoint
165,Viewpoint90,poi in newyork,40.7035295,-73.9952975,24,viewpoint
166,West side highway access,poi in newyork,40.7991902,-73.9753221,24,viewpoint
167,Free Public Stargazing,poi in newyork,40.740586,-74.0081171,24,viewpoint
168,Ground Zero Museum Workshop,poi in newyork,40.74121,-74.0067195,24,museum
169,American Folk Art Museum,poi in newyork,40.7732296,-73.9815958,24,museum
170,Center for Architecture,poi in newyork,40.72873,-73.9985805,24,museum
171,The Renee and Chaim Gross Foundation,poi in newyork,40.7284684,-73.99882,24,museum
172,Natonial Jazz Museum in Harlem,poi in newyork,40.8099499,-73.9430899,24,museum
173,Sugar Hill Children's Museum of Art and Story Telling,poi in newyork,40.8304543,-73.941171,24,museum
174,The AKC Museum of the Dog,poi in newyork,40.7506893,-73.9776714,24,museum
175,The Morgan Library & Museum,poi in newyork,40.7491907,-73.9814793,24,museum
176,The Africa Center,poi in newyork,40.7963422,-73.9493338,24,museum
177,South Street Seaport Museum,poi in newyork,40.706628,-74.0036758,24,museum
