addr:housenumber,addr:street,addr:city,addr:postcode,description,name,opening_hours,tourism,website,longitude,latitude,location_id,zone,geometry
500,E 57th Street,New York,10022,,Sutton Park,Mo-Su 6:00-21:00,park,https://www.nycgovparks.org/parks/sutton-place-park,-73.96025673,40.75682859,229,Sutton Place/Turtle Bay North,POINT (-73.960256728935 40.756828589777264)
,Manhattan,New York,10036,,Times Square,Mo-Su 24 hours,attraction,https://www.timessquarenyc.org/,-73.98551427,40.75813286,230,Times Sq/Theatre District,POINT (-73.98551426775042 40.75813286295451)
245,W 44th Street,New York,10036,,Majestic Theatre,"Depends on show time, see website",theatre,http://www.shubert.nyc/theatres/majestic/,-73.98807846,40.75850669,230,Times Sq/Theatre District,POINT (-73.98807845935355 40.75850669453854)
49,Chambers Street,New York,10007,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Hall des Lumières,10:00-18:00; Tu off; Th-Sa 10:00-22:00,museum,https://www.halldeslumieres.com/,-74.005072,40.7137437,231,TriBeCa/Civic Center,POINT (-74.005072 40.7137437)
4,Cortlandt Alley,New York,10013,tiny exhibit space in a disused elevator,Mmuseumm,"Sa-Su 12:00-18:00 open ""Museum"" || 00:00-24:00 open ""Viewing windows""",museum,http://www.mmuseumm.com/,-74.0028203,40.7173656,231,TriBeCa/Civic Center,POINT (-74.0028203 40.7173656)
57,Walker Street,New York,10013,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,David Lewis Gallery,Tu-Sa 10:00-18:00,gallery,https://www.davidlewisgallery.com/,-74.0032329,40.7188402,231,TriBeCa/Civic Center,POINT (-74.0032329 40.7188402)
127,Henry Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,FIERMAN,We-Su 12:00-18:00,gallery,https://fierman.nyc,-73.9912954,40.713402,232,Two Bridges/Seward Park,POINT (-73.9912954 40.713402)
165,East Broadway,New York,,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Reena Spauldings Fine Art,Th-Su 12:00-18:00,gallery,https://www.reenaspaulings.com/,-73.9899544,40.7139131,232,Two Bridges/Seward Park,POINT (-73.9899544 40.7139131)
191,Henry Street,New York,10002,Lazy Susan Gallery is a creative project space with a revolving roster of curators and artists. Open January 2016 in the Lower East Side of NYC.,Lazy Susan Gallery,Mo-Su 12:00-18:00,gallery,http://lazysusan.nyc,-73.9879511,40.7137046,232,Two Bridges/Seward Park,POINT (-73.9879511 40.7137046)
405,Lexington Avenue,New York,10174,,Chrysler Building,Mo-Fr 08:00-18:00,attraction,https://www.tishmanspeyer.com/projects-investments,-73.97518271,40.75226675,233,UN/Turtle Bay South,POINT (-73.97518270647976 40.75226675026014)
223,5th Avenue,New York,10016,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of Sex,"Mo-Th, Su 10:30-22:00; Fr, Sa 10:30-23:00",museum,https://www.museumofsex.com/,-73.9873576,40.7440374,234,Union Sq,POINT (-73.9873576 40.7440374)
11,East 26th Street,New York,10010,"Award winning museum that highlights the role of mathematics in illuminating the patterns and structures all around us. Its dynamic exhibits, gallery, and programs are designed to stimulate inquiry, spark curiosity, and reveal the wonders of mathematics.",National Museum of Mathematics,Mo-Su 10:00-17:00,museum,https://momath.org/,-73.9873437,40.7432428,234,Union Sq,POINT (-73.9873437 40.7432428)
17,West 17th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,The 8th Floor Gallery,Th-Sa 11:00-18:00,gallery,https://www.the8thfloor.org,-73.9932713,40.7385275,234,Union Sq,POINT (-73.9932713 40.7385275)
1071,5th Avenue,New York,10128,Hint: Saturdays 18:00-20:00 Pay-What-You-Wish Admission,Guggenheim Museum,"Mo, We-Fr, Su 11:00-18:00; Th off; Sa 11:00-20:00",museum,https://www.guggenheim.org/new-york,-73.9588842,40.7829919,236,Upper East Side North,POINT (-73.9588842 40.7829919)
1109,5th Avenue,New York,10128,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,The Jewish Museum,"Mo, Tu, Sa, Su 11:00-17:45; Th 11:00-20:00; Fr 11:00-16:00",museum,https://thejewishmuseum.org,-73.957186,40.7854051,236,Upper East Side North,POINT (-73.957186 40.7854051)
38,East 70th Street,New York,10021,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Michael Altman Fine Art,Mo-Fr 10:00-17:00; PH off,gallery,https://mnafineart.com/,-73.965721,40.7700521,237,Upper East Side South,POINT (-73.965721 40.7700521)
128,East 63rd Street,New York,10065,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Society of Illustrators,We-Sa 11:00-17:00,museum,https://societyillustrators.org/,-73.966827,40.7648187,237,Upper East Side South,POINT (-73.966827 40.7648187)
945,Madison Avenue,New York,10021,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Frick Madison,Th-Su 10:00-18:00,museum,https://www.frick.org/,-73.9639898,40.7734755,237,Upper East Side South,POINT (-73.9639898 40.7734755)
18,W 86th Street,New York,10024,,Bard Graduate Center Gallery,We 11:00-20:00; Th-Su 11:00-17:00,gallery,http://www.bgc.bard.edu/,-73.97070722,40.78591623,238,Upper West Side North,POINT(-73.970707215744 40.78591623075336)
212,West 83rd Street,New York,10024,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Children's Museum of Manhattan,Su-Fr 10:00-17:00; Sa 10:00-19:00,museum,https://www.cmom.org/,-73.9773343,40.7858798,239,Upper West Side South,POINT (-73.9773343 40.7858798)
180,Central Park West,New York,10024,"The American Museum of Natural History is a natural history museum on the Upper West Side of Manhattan in New York City. In Theodore Roosevelt Park, across the street from Central Park, the museum complex comprises 26 interconnected buildings housing 45 p",American Museum of Natural History,Mo-Su 10:00-17:30,museum,https://www.amnh.org/,-73.974211,40.7810986,239,Upper West Side South,POINT (-73.974211 40.7810986)
200,Central Park West,New York,10024,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Hayden Planetarium,Mo-Su 10:00-17:30,museum,https://haydenplanetarium.org/,-73.9733215,40.7813974,239,Upper West Side South,POINT (-73.9733215 40.7813974)
99,Margaret Corbin Drive,New York,10040,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,The Met Cloisters,Th-Tu 10:00-16:30,museum,https://www.metmuseum.org/visit/plan-your-visit/met-cloisters,-73.9319228,40.8648684,243,Washington Heights North,POINT (-73.9319228 40.8648684)
613,W 155th Street,New York,10032,,"Hispanic Society Museum & Library
",Th-Su 12:00-17:00,museum,http://www.hispanicsociety.org/,-73.9462004,40.83397365,244,Washington Heights South,POINT (-73.94620040119585 40.83397364695048)
